Group,2010,2011,2012,2013,2014,2015
Local / state news org,8694418,5545128,8022168,8185365,8543899,6454681
Subject-specific deep vertical news org,680600,3512858,5538997,1158138,4579448,1178965
Alt weekly / web site,40000,n/a,n/a,n/a,500,70295
Local/state news collaborations,416039,1067100,632331,2353715,1936500,1403000
Local/state investigative journalism,1236036,2495100,1980950,2669793,2596180,1484593
Local/state citizen journalism,969055,935885,587075,350150,610649,654325
Ethnic/minority news org,177470,54200,180101,47920,76053,250
Specific beat/subject coverage,894090,1865474,1382915,1895754,2118334,360000
Homeless/low income news org,60500,21100,50673,1240353,539749,325741
