Group,2010,2011,2012,2013,2014,2015
Public media,96570799.00,102083272.00,128112735.00,173751141.00,234311210.00,180116616.00
Magazines,4431161.00,6783145.00,8528495.00,10961407.00,19891713.00,3888845.00
National non-profit news orgs,20355778.00,27838700.00,36563542.00,48099385.00,45439238.00,33320230.00
Local non-profit news orgs,13168208.00,15496845.00,18375210.00,17901188.00,21001312.00,11931850.00
University-based journalism initiatives,4180250.00,13331596.00,4712050.00,3918128.00,3983000.00,4238000.00
Journalism education,68826177.00,98354365.00,60877307.00,51025910.00,61245874.00,28281756.00
"Professional development, associations",15266024.00,14164180.00,23895444.00,18678198.00,32638628.00,13660757.00
"Journalism R&D, legal support, funding networks",9727464.00,14594881.00,10490316.00,6995059.00,15423310.00,14195302.00
Religiously-affiliated media,2430885.00,1368361.00,3669320.00,2989376.00,8473544.00,2066024.00
