Focus,Amount $
Local / state news org,33066269
Deep vertical / subject focused news org,9049769
Alt weekly / web site,47900
Promote local / state news collaborations,12465161
Local / state investigative reporting org,9829102
Local citizen journalism initiative,4856884
Local ethnic / minority focused org,1686556
Specific beat / subject coverage at local non-profit,8080013
Homeless / low income focused media,826891
