Group,Amount $
Environment / conservation / energy,17225292
Women’s rights / reproductive rights,4072243
Cities / urban planning / housing,4025000
Racial justice / justice reform,3161800
Science & technology,1500000
Religion,1023713
Military / national security,1022000
Public health / health care,848958
Education / schools / youth welfare,634140
Journalism + media,285000
Philanthropy / non-profit sector,210000
Jobs / inequality / poverty / financial reform,200000
