State,Amount of Grants,Lat,Lon
NY,181342206,42.165726,-74.948051
CA,91563783,36.116203,-119.681564
DC,83250751,38.897438,-77.026817
MA,74343027,42.230171,-71.530106
MN,67889206,45.694454,-93.900192
VA,65738438,37.769337,-78.169968
PA,34843377,40.590752,-77.209755
IL,27506256,40.349457,-88.986137
CO,15973645,39.059811,-105.311104
TX,14983902,31.054487,-97.563461
OH,13045644,40.388783,-82.764915
CT,10764071,41.597782,-72.755371
IN,10591774,39.849426,-86.258278
MO,10334970,38.456085,-92.288368
FL,9862311,27.766279,-81.686783
MI,9222498,43.326618,-84.536095
OR,7573416,44.572021,-122.070938
WA,6437316,47.400902,-121.490494
MD,4647926,39.063946,-76.802101
TN,4414032,35.747845,-86.692345
HI,4339886,21.094318,-157.498337
NH,3926504,43.452492,-71.563896
NJ,3893025,40.298904,-74.521011
ID,3254813,44.240459,-114.478828
KY,3183982,37.66814,-84.670067
WI,3170538,44.268543,-89.616508
LA,3111692,31.169546,-91.867805
NV,2825182,38.313515,-117.055374
AK,2690268,61.370716,-152.404419
NC,2416880,35.630066,-79.806419
VT,2327873,44.045876,-72.710686
RI,1928929,41.680893,-71.51178
GA,1894744,33.040619,-83.643074
ME,1796587,44.693947,-69.381927
IA,1276166,42.011539,-93.210526
NE,1095821,41.12537,-98.268082
OK,1018253,35.565342,-96.928917
SC,939018,33.856892,-80.945007
AZ,912457,33.729759,-111.431221
NM,902175,34.840515,-106.248482
KS,799410,38.5266,-96.726486
UT,656050,40.150032,-111.862434
DE,558895,39.318523,-75.507141
AL,551845,32.806671,-86.79113
MT,490177,46.921925,-110.454353
SD,357282,44.299782,-99.438828
ND,317063,47.528912,-99.784012
WY,275687,42.755966,-107.30249
AR,181666,34.969704,-92.373123
WV,137000,38.491226,-80.954453
MS,88983,32.741646,-89.678696
